date,groupe_age,campagne,DOSES(J07E1),ACTE(VGP),annee,mois,jour_semaine,semaine_annee,DOSES(J07E1)_campagne,ACTE(VGP)_campagne,UNIVERS,PHARMACIES,POURCENTAGE
2022-02-13,65 ans et plus,2021-2022,254,125,2022,2,6,6,,,,,
2022-02-13,moins de 65 ans,2021-2022,48,32,2022,2,6,6,,,,,
2022-02-14,65 ans et plus,2021-2022,654,651,2022,2,0,7,,,,,
2022-02-14,moins de 65 ans,2021-2022,652,397,2022,2,0,7,,,,,
2022-02-15,65 ans et plus,2021-2022,656,643,2022,2,1,7,,,,,
2022-02-15,moins de 65 ans,2021-2022,619,417,2022,2,1,7,,,,,
2022-02-16,65 ans et plus,2021-2022,443,773,2022,2,2,7,,,,,
2022-02-16,moins de 65 ans,2021-2022,644,337,2022,2,2,7,,,,,
2022-02-17,65 ans et plus,2021-2022,706,620,2022,2,3,7,,,,,
2022-02-17,moins de 65 ans,2021-2022,695,419,2022,2,3,7,,,,,
2022-02-18,65 ans et plus,2021-2022,1177,714,2022,2,4,7,,,,,
2022-02-18,moins de 65 ans,2021-2022,737,399,2022,2,4,7,,,,,
2022-02-19,65 ans et plus,2021-2022,538,416,2022,2,5,7,,,,,
2022-02-19,moins de 65 ans,2021-2022,373,235,2022,2,5,7,,,,,
2022-02-20,65 ans et plus,2021-2022,13,45,2022,2,6,7,,,,,
2022-02-20,moins de 65 ans,2021-2022,30,28,2022,2,6,7,,,,,
2022-02-21,65 ans et plus,2021-2022,795,734,2022,2,0,8,,,,,
2022-02-21,moins de 65 ans,2021-2022,662,412,2022,2,0,8,,,,,
2022-02-22,65 ans et plus,2021-2022,752,562,2022,2,1,8,,,,,
2022-02-22,moins de 65 ans,2021-2022,695,363,2022,2,1,8,,,,,
2022-02-23,65 ans et plus,2021-2022,1040,573,2022,2,2,8,,,,,
2022-02-23,moins de 65 ans,2021-2022,733,374,2022,2,2,8,,,,,
2022-02-24,65 ans et plus,2021-2022,675,534,2022,2,3,8,,,,,
2022-02-24,moins de 65 ans,2021-2022,583,319,2022,2,3,8,,,,,
2022-02-25,65 ans et plus,2021-2022,521,652,2022,2,4,8,,,,,
2022-02-25,moins de 65 ans,2021-2022,517,335,2022,2,4,8,,,,,
2022-02-26,65 ans et plus,2021-2022,678,205,2022,2,5,8,,,,,
2022-02-26,moins de 65 ans,2021-2022,265,169,2022,2,5,8,,,,,
2022-02-27,65 ans et plus,2021-2022,72,82,2022,2,6,8,,,,,
2022-02-27,moins de 65 ans,2021-2022,44,21,2022,2,6,8,,,,,
2022-02-28,65 ans et plus,2021-2022,1150,530,2022,2,0,9,,,,,
2022-02-28,moins de 65 ans,2021-2022,736,289,2022,2,0,9,,,,,
2022-10-18,65 ans et plus,2022-2023,555059,149739,2022,10,1,42,,,,,
2022-10-18,moins de 65 ans,2022-2023,119448,37380,2022,10,1,42,,,,,
2022-10-19,65 ans et plus,2022-2023,396041,120484,2022,10,2,42,,,,,
2022-10-19,moins de 65 ans,2022-2023,82064,27396,2022,10,2,42,,,,,
2022-10-20,65 ans et plus,2022-2023,332013,108450,2022,10,3,42,,,,,
2022-10-20,moins de 65 ans,2022-2023,66854,23765,2022,10,3,42,,,,,
2022-10-21,65 ans et plus,2022-2023,284934,109942,2022,10,4,42,,,,,
2022-10-21,moins de 65 ans,2022-2023,65265,24291,2022,10,4,42,,,,,
2022-10-22,65 ans et plus,2022-2023,123654,30803,2022,10,5,42,,,,,
2022-10-22,moins de 65 ans,2022-2023,37333,13179,2022,10,5,42,,,,,
2022-10-23,65 ans et plus,2022-2023,1346,671,2022,10,6,42,,,,,
2022-10-23,moins de 65 ans,2022-2023,573,295,2022,10,6,42,,,,,
2022-10-24,65 ans et plus,2022-2023,224971,81614,2022,10,0,43,,,,,
2022-10-24,moins de 65 ans,2022-2023,51813,19431,2022,10,0,43,,,,,
2022-10-25,65 ans et plus,2022-2023,253772,98327,2022,10,1,43,,,,,
2022-10-25,moins de 65 ans,2022-2023,53815,20340,2022,10,1,43,,,,,
2022-10-26,65 ans et plus,2022-2023,198278,74157,2022,10,2,43,,,,,
2022-10-26,moins de 65 ans,2022-2023,45902,17048,2022,10,2,43,,,,,
2022-10-27,65 ans et plus,2022-2023,185155,69950,2022,10,3,43,,,,,
2022-10-27,moins de 65 ans,2022-2023,42811,16212,2022,10,3,43,,,,,
2022-10-28,65 ans et plus,2022-2023,176185,68039,2022,10,4,43,,,,,
